v1,v2
ham,Good luck on your exam!
ham,Let me know if you need help with the task.
ham,Let me know if you need help with the task.
ham,I'm free this weekend if you want to hang out.
ham,Let me know if you need help with the task.
ham,Happy birthday! Have an amazing day!
ham,I'm free this weekend if you want to hang out.
ham,Your appointment is confirmed for 3 PM.
ham,Don't forget to bring your charger.
spam,URGENT! Verify your account immediately.
spam,Click to unsubscribe or you’ll be charged!
ham,Hey! Are we still meeting tomorrow?
ham,Good luck on your exam!
spam,Hot singles in your area want to chat!
ham,Good luck on your exam!
spam,You've been chosen for a free iPhone. Act fast!
ham,Don't forget to bring your charger.
ham,Let me know if you need help with the task.
ham,Let's catch up for coffee soon.
ham,Let's catch up for coffee soon.
ham,Good luck on your exam!
ham,Can you send me the report by EOD?
spam,You’ve been selected for a cash prize. Click here!
ham,Happy birthday! Have an amazing day!
ham,Happy birthday! Have an amazing day!
ham,Let's catch up for coffee soon.
ham,Don't forget to bring your charger.
spam,You’ve been selected for a cash prize. Click here!
ham,Can you send me the report by EOD?
ham,Happy birthday! Have an amazing day!
ham,I'm free this weekend if you want to hang out.
ham,Can you send me the report by EOD?
ham,Happy birthday! Have an amazing day!
ham,Can you send me the report by EOD?
ham,Let's catch up for coffee soon.
ham,Let's catch up for coffee soon.
ham,I'll be there in 10 minutes.
ham,Good luck on your exam!
ham,Happy birthday! Have an amazing day!
ham,Can you send me the report by EOD?
ham,I'm free this weekend if you want to hang out.
ham,Let me know if you need help with the task.
ham,I'm free this weekend if you want to hang out.
ham,Don't forget to bring your charger.
spam,You've been chosen for a free iPhone. Act fast!
spam,Earn $5000 per week working from home!
ham,Let's catch up for coffee soon.
ham,Hey! Are we still meeting tomorrow?
ham,I'll be there in 10 minutes.
ham,I'm free this weekend if you want to hang out.
ham,Hey! Are we still meeting tomorrow?
spam,Congratulations! You've won a free cruise. Call now!
spam,Get cheap meds online without prescription.
ham,Happy birthday! Have an amazing day!
ham,Don't forget to bring your charger.
spam,URGENT! Verify your account immediately.
ham,Can you send me the report by EOD?
spam,Limited time offer! Buy one get one free!
ham,Let's catch up for coffee soon.
ham,Let me know if you need help with the task.
ham,Let me know if you need help with the task.
spam,Your loan has been approved. Claim now!
spam,Click to unsubscribe or you’ll be charged!
spam,Limited time offer! Buy one get one free!
spam,Congratulations! You've won a free cruise. Call now!
spam,Click to unsubscribe or you’ll be charged!
ham,Good luck on your exam!
ham,I'll be there in 10 minutes.
ham,Good luck on your exam!
ham,Hey! Are we still meeting tomorrow?
ham,Let's catch up for coffee soon.
spam,URGENT! Verify your account immediately.
spam,Hot singles in your area want to chat!
ham,Can you send me the report by EOD?
ham,Good luck on your exam!
ham,I'll be there in 10 minutes.
spam,Click to unsubscribe or you’ll be charged!
ham,Let me know if you need help with the task.
spam,Hot singles in your area want to chat!
ham,Let's catch up for coffee soon.
ham,Can you send me the report by EOD?
ham,Your appointment is confirmed for 3 PM.
ham,Hey! Are we still meeting tomorrow?
ham,Let's catch up for coffee soon.
ham,I'm free this weekend if you want to hang out.
ham,Hey! Are we still meeting tomorrow?
ham,Good luck on your exam!
spam,URGENT! Verify your account immediately.
ham,Hey! Are we still meeting tomorrow?
ham,Let me know if you need help with the task.
spam,Get cheap meds online without prescription.
ham,Don't forget to bring your charger.
ham,Happy birthday! Have an amazing day!
ham,I'll be there in 10 minutes.
ham,Your appointment is confirmed for 3 PM.
ham,I'll be there in 10 minutes.
ham,Don't forget to bring your charger.
ham,Good luck on your exam!
ham,Let's catch up for coffee soon.
ham,Can you send me the report by EOD?
ham,Don't forget to bring your charger.
spam,Click to unsubscribe or you’ll be charged!
ham,Let's catch up for coffee soon.
ham,Happy birthday! Have an amazing day!
ham,Good luck on your exam!
ham,I'm free this weekend if you want to hang out.
spam,Earn $5000 per week working from home!
ham,I'll be there in 10 minutes.
ham,Don't forget to bring your charger.
ham,Don't forget to bring your charger.
spam,You’ve been selected for a cash prize. Click here!
spam,Your loan has been approved. Claim now!
ham,Good luck on your exam!
ham,Your appointment is confirmed for 3 PM.
ham,Happy birthday! Have an amazing day!
ham,Don't forget to bring your charger.
ham,Can you send me the report by EOD?
ham,Don't forget to bring your charger.
ham,Good luck on your exam!
spam,Earn $5000 per week working from home!
ham,Your appointment is confirmed for 3 PM.
ham,Hey! Are we still meeting tomorrow?
spam,Click to unsubscribe or you’ll be charged!
ham,Your appointment is confirmed for 3 PM.
ham,I'll be there in 10 minutes.
ham,Good luck on your exam!
ham,Hey! Are we still meeting tomorrow?
spam,You've been chosen for a free iPhone. Act fast!
ham,Hey! Are we still meeting tomorrow?
ham,Good luck on your exam!
spam,Limited time offer! Buy one get one free!
spam,Congratulations! You've won a free cruise. Call now!
ham,Your appointment is confirmed for 3 PM.
ham,Let me know if you need help with the task.
spam,You've been chosen for a free iPhone. Act fast!
ham,Good luck on your exam!
ham,I'm free this weekend if you want to hang out.
ham,I'll be there in 10 minutes.
ham,Your appointment is confirmed for 3 PM.
spam,Earn $5000 per week working from home!
ham,Your appointment is confirmed for 3 PM.
ham,Don't forget to bring your charger.
ham,Let's catch up for coffee soon.
spam,Earn $5000 per week working from home!
ham,I'll be there in 10 minutes.
ham,I'll be there in 10 minutes.
ham,Hey! Are we still meeting tomorrow?
ham,Can you send me the report by EOD?
ham,I'll be there in 10 minutes.
spam,Limited time offer! Buy one get one free!
ham,Good luck on your exam!
ham,Let's catch up for coffee soon.
ham,I'm free this weekend if you want to hang out.
spam,Click to unsubscribe or you’ll be charged!
spam,Earn $5000 per week working from home!
ham,I'll be there in 10 minutes.
ham,Let me know if you need help with the task.
spam,Get cheap meds online without prescription.
spam,Get cheap meds online without prescription.
ham,Can you send me the report by EOD?
spam,Limited time offer! Buy one get one free!
ham,Your appointment is confirmed for 3 PM.
ham,Happy birthday! Have an amazing day!
ham,I'm free this weekend if you want to hang out.
spam,Hot singles in your area want to chat!
ham,Hey! Are we still meeting tomorrow?
ham,Can you send me the report by EOD?
ham,Your appointment is confirmed for 3 PM.
ham,Let's catch up for coffee soon.
spam,You've been chosen for a free iPhone. Act fast!
ham,Let's catch up for coffee soon.
ham,I'm free this weekend if you want to hang out.
ham,Your appointment is confirmed for 3 PM.
ham,Can you send me the report by EOD?
ham,Let's catch up for coffee soon.
ham,Let's catch up for coffee soon.
ham,I'm free this weekend if you want to hang out.
ham,Hey! Are we still meeting tomorrow?
ham,Don't forget to bring your charger.
spam,Earn $5000 per week working from home!
ham,Let me know if you need help with the task.
ham,I'm free this weekend if you want to hang out.
ham,Hey! Are we still meeting tomorrow?
ham,Can you send me the report by EOD?
ham,Hey! Are we still meeting tomorrow?
spam,Limited time offer! Buy one get one free!
ham,Hey! Are we still meeting tomorrow?
ham,Let me know if you need help with the task.
ham,Let me know if you need help with the task.
ham,Good luck on your exam!
spam,You've been chosen for a free iPhone. Act fast!
ham,Let me know if you need help with the task.
ham,Don't forget to bring your charger.
ham,Don't forget to bring your charger.
spam,Click to unsubscribe or you’ll be charged!
ham,Let's catch up for coffee soon.
ham,Hey! Are we still meeting tomorrow?
ham,Good luck on your exam!
ham,I'll be there in 10 minutes.
ham,I'll be there in 10 minutes.
ham,Hey! Are we still meeting tomorrow?
spam,Earn $5000 per week working from home!
ham,I'll be there in 10 minutes.
ham,I'll be there in 10 minutes.
ham,Don't forget to bring your charger.
ham,Happy birthday! Have an amazing day!
spam,You've been chosen for a free iPhone. Act fast!
ham,Don't forget to bring your charger.
ham,Happy birthday! Have an amazing day!
spam,Get cheap meds online without prescription.
ham,Your appointment is confirmed for 3 PM.
ham,Don't forget to bring your charger.
ham,I'll be there in 10 minutes.
ham,I'll be there in 10 minutes.
spam,Click to unsubscribe or you’ll be charged!
ham,I'll be there in 10 minutes.
ham,Let's catch up for coffee soon.
ham,I'm free this weekend if you want to hang out.
ham,I'm free this weekend if you want to hang out.
ham,Let me know if you need help with the task.
spam,Click to unsubscribe or you’ll be charged!
ham,Good luck on your exam!
ham,Don't forget to bring your charger.
ham,Good luck on your exam!
ham,Hey! Are we still meeting tomorrow?
ham,I'm free this weekend if you want to hang out.
ham,I'm free this weekend if you want to hang out.
ham,Let's catch up for coffee soon.
spam,Get cheap meds online without prescription.
ham,Can you send me the report by EOD?
ham,Let me know if you need help with the task.
ham,Don't forget to bring your charger.
ham,Good luck on your exam!
ham,Hey! Are we still meeting tomorrow?
ham,I'm free this weekend if you want to hang out.
ham,Don't forget to bring your charger.
spam,You’ve been selected for a cash prize. Click here!
ham,Hey! Are we still meeting tomorrow?
ham,I'll be there in 10 minutes.
ham,Happy birthday! Have an amazing day!
ham,Let's catch up for coffee soon.
ham,Can you send me the report by EOD?
ham,Let's catch up for coffee soon.
ham,Don't forget to bring your charger.
ham,Hey! Are we still meeting tomorrow?
ham,Let me know if you need help with the task.
ham,I'm free this weekend if you want to hang out.
ham,Let me know if you need help with the task.
spam,Get cheap meds online without prescription.
ham,Happy birthday! Have an amazing day!
ham,Let me know if you need help with the task.
ham,Your appointment is confirmed for 3 PM.
ham,Hey! Are we still meeting tomorrow?
spam,Earn $5000 per week working from home!
ham,Can you send me the report by EOD?
spam,Get cheap meds online without prescription.
spam,You've been chosen for a free iPhone. Act fast!
ham,Good luck on your exam!
ham,I'll be there in 10 minutes.
ham,Don't forget to bring your charger.
spam,Click to unsubscribe or you’ll be charged!
ham,Your appointment is confirmed for 3 PM.
spam,Get cheap meds online without prescription.
ham,I'll be there in 10 minutes.
ham,Happy birthday! Have an amazing day!
ham,I'm free this weekend if you want to hang out.
ham,Let me know if you need help with the task.
ham,Don't forget to bring your charger.
spam,Get cheap meds online without prescription.
ham,I'll be there in 10 minutes.
ham,Can you send me the report by EOD?
ham,Your appointment is confirmed for 3 PM.
ham,Your appointment is confirmed for 3 PM.
ham,Your appointment is confirmed for 3 PM.
ham,I'm free this weekend if you want to hang out.
ham,Can you send me the report by EOD?
ham,Let me know if you need help with the task.
ham,Let's catch up for coffee soon.
spam,You've been chosen for a free iPhone. Act fast!
spam,Congratulations! You've won a free cruise. Call now!
ham,I'm free this weekend if you want to hang out.
spam,Click to unsubscribe or you’ll be charged!
ham,Let me know if you need help with the task.
ham,I'm free this weekend if you want to hang out.
ham,I'll be there in 10 minutes.
ham,Let me know if you need help with the task.
ham,I'm free this weekend if you want to hang out.
spam,Your loan has been approved. Claim now!
ham,Don't forget to bring your charger.
ham,Hey! Are we still meeting tomorrow?
spam,Hot singles in your area want to chat!
ham,Good luck on your exam!
ham,I'll be there in 10 minutes.
ham,I'll be there in 10 minutes.
ham,I'm free this weekend if you want to hang out.
spam,Click to unsubscribe or you’ll be charged!
ham,I'm free this weekend if you want to hang out.
ham,Don't forget to bring your charger.
ham,I'm free this weekend if you want to hang out.
ham,Can you send me the report by EOD?
ham,Can you send me the report by EOD?
ham,Can you send me the report by EOD?
spam,Congratulations! You've won a free cruise. Call now!
ham,Don't forget to bring your charger.
ham,Happy birthday! Have an amazing day!
ham,Can you send me the report by EOD?
spam,You've been chosen for a free iPhone. Act fast!
spam,Get cheap meds online without prescription.
ham,I'm free this weekend if you want to hang out.
ham,Let's catch up for coffee soon.
ham,I'm free this weekend if you want to hang out.
spam,You’ve been selected for a cash prize. Click here!
ham,I'll be there in 10 minutes.
spam,You’ve been selected for a cash prize. Click here!
ham,I'm free this weekend if you want to hang out.
spam,Limited time offer! Buy one get one free!
ham,Don't forget to bring your charger.
ham,Don't forget to bring your charger.
ham,Good luck on your exam!
spam,Click to unsubscribe or you’ll be charged!
ham,Let's catch up for coffee soon.
spam,Earn $5000 per week working from home!
ham,I'm free this weekend if you want to hang out.
ham,I'm free this weekend if you want to hang out.
ham,Let's catch up for coffee soon.
ham,Let's catch up for coffee soon.
ham,Don't forget to bring your charger.
ham,Don't forget to bring your charger.
ham,Happy birthday! Have an amazing day!
ham,Can you send me the report by EOD?
ham,Don't forget to bring your charger.
ham,Let me know if you need help with the task.
ham,Happy birthday! Have an amazing day!
ham,Your appointment is confirmed for 3 PM.
ham,Let me know if you need help with the task.
ham,Hey! Are we still meeting tomorrow?
ham,Don't forget to bring your charger.
ham,I'll be there in 10 minutes.
ham,Good luck on your exam!
ham,Hey! Are we still meeting tomorrow?
ham,Hey! Are we still meeting tomorrow?
ham,I'll be there in 10 minutes.
ham,Happy birthday! Have an amazing day!
ham,Hey! Are we still meeting tomorrow?
spam,You've been chosen for a free iPhone. Act fast!
ham,Let's catch up for coffee soon.
ham,Let's catch up for coffee soon.
ham,Hey! Are we still meeting tomorrow?
ham,I'll be there in 10 minutes.
ham,Hey! Are we still meeting tomorrow?
ham,Don't forget to bring your charger.
spam,Congratulations! You've won a free cruise. Call now!
ham,Let's catch up for coffee soon.
ham,Your appointment is confirmed for 3 PM.
ham,Don't forget to bring your charger.
spam,URGENT! Verify your account immediately.
ham,Let's catch up for coffee soon.
spam,You've been chosen for a free iPhone. Act fast!
ham,Hey! Are we still meeting tomorrow?
ham,Good luck on your exam!
ham,Hey! Are we still meeting tomorrow?
ham,Let me know if you need help with the task.
ham,Happy birthday! Have an amazing day!
ham,Your appointment is confirmed for 3 PM.
ham,Let me know if you need help with the task.
spam,Hot singles in your area want to chat!
ham,Happy birthday! Have an amazing day!
spam,Earn $5000 per week working from home!
spam,Get cheap meds online without prescription.
ham,Let me know if you need help with the task.
ham,Hey! Are we still meeting tomorrow?
ham,Let's catch up for coffee soon.
ham,Hey! Are we still meeting tomorrow?
spam,Congratulations! You've won a free cruise. Call now!
ham,I'll be there in 10 minutes.
ham,I'm free this weekend if you want to hang out.
spam,Get cheap meds online without prescription.
ham,Don't forget to bring your charger.
ham,Don't forget to bring your charger.
ham,I'm free this weekend if you want to hang out.
ham,Don't forget to bring your charger.
ham,Your appointment is confirmed for 3 PM.
spam,Earn $5000 per week working from home!
ham,Happy birthday! Have an amazing day!
ham,Can you send me the report by EOD?
ham,Can you send me the report by EOD?
ham,Good luck on your exam!
ham,Let me know if you need help with the task.
ham,I'll be there in 10 minutes.
ham,Let's catch up for coffee soon.
ham,Don't forget to bring your charger.
ham,Hey! Are we still meeting tomorrow?
ham,Can you send me the report by EOD?
ham,I'll be there in 10 minutes.
ham,Can you send me the report by EOD?
ham,Let me know if you need help with the task.
ham,I'm free this weekend if you want to hang out.
spam,Earn $5000 per week working from home!
ham,Hey! Are we still meeting tomorrow?
ham,Hey! Are we still meeting tomorrow?
ham,Let me know if you need help with the task.
ham,I'm free this weekend if you want to hang out.
ham,Let me know if you need help with the task.
ham,Let's catch up for coffee soon.
ham,Good luck on your exam!
ham,Happy birthday! Have an amazing day!
ham,Happy birthday! Have an amazing day!
spam,Click to unsubscribe or you’ll be charged!
spam,You've been chosen for a free iPhone. Act fast!
ham,I'm free this weekend if you want to hang out.
spam,URGENT! Verify your account immediately.
ham,I'm free this weekend if you want to hang out.
ham,Let me know if you need help with the task.
spam,Click to unsubscribe or you’ll be charged!
ham,Good luck on your exam!
ham,Let me know if you need help with the task.
spam,Earn $5000 per week working from home!
ham,Let's catch up for coffee soon.
spam,Earn $5000 per week working from home!
ham,Hey! Are we still meeting tomorrow?
ham,Let's catch up for coffee soon.
ham,I'm free this weekend if you want to hang out.
ham,Don't forget to bring your charger.
spam,URGENT! Verify your account immediately.
spam,Get cheap meds online without prescription.
ham,Good luck on your exam!
ham,I'm free this weekend if you want to hang out.
ham,Don't forget to bring your charger.
ham,Hey! Are we still meeting tomorrow?
ham,Hey! Are we still meeting tomorrow?
ham,I'm free this weekend if you want to hang out.
ham,Let's catch up for coffee soon.
ham,Let me know if you need help with the task.
spam,You've been chosen for a free iPhone. Act fast!
ham,I'll be there in 10 minutes.
ham,Let's catch up for coffee soon.
ham,Let's catch up for coffee soon.
ham,Your appointment is confirmed for 3 PM.
ham,Happy birthday! Have an amazing day!
ham,I'm free this weekend if you want to hang out.
ham,Hey! Are we still meeting tomorrow?
ham,I'll be there in 10 minutes.
ham,Let me know if you need help with the task.
ham,Let me know if you need help with the task.
ham,Don't forget to bring your charger.
ham,Can you send me the report by EOD?
ham,Let's catch up for coffee soon.
ham,Good luck on your exam!
ham,Hey! Are we still meeting tomorrow?
spam,You've been chosen for a free iPhone. Act fast!
ham,I'll be there in 10 minutes.
spam,Click to unsubscribe or you’ll be charged!
spam,Click to unsubscribe or you’ll be charged!
spam,Earn $5000 per week working from home!
spam,You've been chosen for a free iPhone. Act fast!
ham,Let's catch up for coffee soon.
ham,Happy birthday! Have an amazing day!
ham,Don't forget to bring your charger.
ham,Let's catch up for coffee soon.
ham,I'm free this weekend if you want to hang out.
ham,Good luck on your exam!
ham,Good luck on your exam!
ham,Happy birthday! Have an amazing day!
ham,Don't forget to bring your charger.
ham,Let's catch up for coffee soon.
spam,You've been chosen for a free iPhone. Act fast!
ham,Can you send me the report by EOD?
spam,URGENT! Verify your account immediately.
ham,Can you send me the report by EOD?
ham,Don't forget to bring your charger.
ham,Can you send me the report by EOD?
ham,Let's catch up for coffee soon.
ham,Your appointment is confirmed for 3 PM.
ham,Don't forget to bring your charger.
ham,Can you send me the report by EOD?
spam,You've been chosen for a free iPhone. Act fast!
spam,Congratulations! You've won a free cruise. Call now!
ham,I'm free this weekend if you want to hang out.
ham,Hey! Are we still meeting tomorrow?
ham,Good luck on your exam!
ham,Don't forget to bring your charger.
ham,Don't forget to bring your charger.
ham,I'm free this weekend if you want to hang out.
ham,I'll be there in 10 minutes.
ham,Happy birthday! Have an amazing day!
spam,Earn $5000 per week working from home!
ham,Happy birthday! Have an amazing day!
ham,Your appointment is confirmed for 3 PM.
ham,Can you send me the report by EOD?
ham,Your appointment is confirmed for 3 PM.
ham,Your appointment is confirmed for 3 PM.
ham,Don't forget to bring your charger.
spam,Hot singles in your area want to chat!
ham,Can you send me the report by EOD?
ham,Let's catch up for coffee soon.
spam,Get cheap meds online without prescription.
ham,Don't forget to bring your charger.
ham,Can you send me the report by EOD?
spam,Get cheap meds online without prescription.
ham,Don't forget to bring your charger.
ham,Don't forget to bring your charger.
ham,Your appointment is confirmed for 3 PM.
spam,Get cheap meds online without prescription.
ham,Let's catch up for coffee soon.
ham,Don't forget to bring your charger.
ham,Happy birthday! Have an amazing day!
ham,Hey! Are we still meeting tomorrow?
ham,Happy birthday! Have an amazing day!
ham,Don't forget to bring your charger.
ham,Let me know if you need help with the task.
ham,Hey! Are we still meeting tomorrow?
ham,Let's catch up for coffee soon.
ham,I'm free this weekend if you want to hang out.
ham,I'm free this weekend if you want to hang out.
ham,Hey! Are we still meeting tomorrow?
ham,Good luck on your exam!
spam,Click to unsubscribe or you’ll be charged!
ham,Good luck on your exam!
ham,Let's catch up for coffee soon.
ham,Your appointment is confirmed for 3 PM.
ham,I'm free this weekend if you want to hang out.
ham,Good luck on your exam!
ham,Let me know if you need help with the task.
spam,URGENT! Verify your account immediately.
spam,Earn $5000 per week working from home!
spam,URGENT! Verify your account immediately.
ham,Your appointment is confirmed for 3 PM.
ham,Hey! Are we still meeting tomorrow?
spam,Hot singles in your area want to chat!
ham,Good luck on your exam!
ham,Good luck on your exam!
ham,Happy birthday! Have an amazing day!
ham,Can you send me the report by EOD?
spam,You’ve been selected for a cash prize. Click here!
ham,Happy birthday! Have an amazing day!
ham,Your appointment is confirmed for 3 PM.
ham,Let me know if you need help with the task.
ham,Hey! Are we still meeting tomorrow?
ham,Your appointment is confirmed for 3 PM.
spam,Click to unsubscribe or you’ll be charged!
spam,URGENT! Verify your account immediately.
ham,Good luck on your exam!
ham,Your appointment is confirmed for 3 PM.
ham,Happy birthday! Have an amazing day!
spam,Your loan has been approved. Claim now!
ham,I'm free this weekend if you want to hang out.
ham,Happy birthday! Have an amazing day!
spam,Congratulations! You've won a free cruise. Call now!
ham,Hey! Are we still meeting tomorrow?
spam,Get cheap meds online without prescription.
spam,Hot singles in your area want to chat!
spam,Click to unsubscribe or you’ll be charged!
ham,Let me know if you need help with the task.
spam,URGENT! Verify your account immediately.
ham,Good luck on your exam!
ham,Happy birthday! Have an amazing day!
spam,You’ve been selected for a cash prize. Click here!
ham,Don't forget to bring your charger.
ham,Happy birthday! Have an amazing day!
ham,I'm free this weekend if you want to hang out.
ham,Let's catch up for coffee soon.
ham,Can you send me the report by EOD?
ham,Let me know if you need help with the task.
ham,Hey! Are we still meeting tomorrow?
ham,Hey! Are we still meeting tomorrow?
ham,Happy birthday! Have an amazing day!
ham,Can you send me the report by EOD?
ham,I'm free this weekend if you want to hang out.
ham,I'll be there in 10 minutes.
